,date,address,species,block,street,trap,addressnumberandstreet,latitude,longitude,addressaccuracy,nummosquitos,wnvpresent,year,month,total_mos,tmax_1,tmin_1,tavg_1,dewpoint_1,wetbulb_1,preciptotal_1,stnpressure_1,sealevel_1,resultspeed_1,resultdir_1,avgspeed_1,latitude_1,longitude_1,tmax_2,tmin_2,tavg_2,dewpoint_2,wetbulb_2,preciptotal_2,stnpressure_2,sealevel_2,resultspeed_2,resultdir_2,avgspeed_2,latitude_2,longitude_2,tempmax_avg,tempmin_avg,temp_avg,dewpoint_avg,wetbulb_avg,precip_avg,stnpressure_avg
0,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
1,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
2,2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,62, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
3,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
4,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,4,0,2007,5,4,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
5,2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,2007,5,2,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
6,2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000001,8,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
7,2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
8,2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,2007,5,2,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
9,2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
10,2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
11,2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,2,0,2007,5,2,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
12,2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,2007,5,3,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
13,2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
14,2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
15,2007-05-29,"1100 South Peoria Street, Chicago, IL 60608, USA",CULEX RESTUANS,11, S PEORIA ST,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
16,2007-05-29,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX RESTUANS,17, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,3,0,2007,5,3,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
17,2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,5,0,2007,5,5,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
18,2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
19,2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
20,2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",CULEX RESTUANS,53, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,2,0,2007,5,2,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
21,2007-05-29,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",CULEX PIPIENS/RESTUANS,65, N OAK PARK AVE,T143,"6500  N OAK PARK AVE, Chicago, IL",41.999128999999996,-87.795585,8,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
22,2007-05-29,"7500 North Oakley Avenue, Chicago, IL 60645, USA",CULEX PIPIENS/RESTUANS,75, N OAKLEY AVE,T148,"7500  N OAKLEY AVE, Chicago, IL",42.01743,-87.68776899999999,8,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
23,2007-05-29,"1500 North Long Avenue, Chicago, IL 60651, USA",CULEX RESTUANS,15, N LONG AVE,T153,"1500  N LONG AVE, Chicago, IL",41.907645,-87.760886,8,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
24,2007-05-29,"8900 South Carpenter Street, Chicago, IL 60620, USA",CULEX RESTUANS,89, S CARPENTER ST,T159,"8900  S CARPENTER ST, Chicago, IL",41.732984,-87.649642,8,1,0,2007,5,1,88,60,74.0,58,6.5,0.0,29.39,30.11,5.8,18,6.5,41.995,-87.933,88,65,77.0,59,7.4,0.0,29.44,30.09,5.8,16,7.4,41.786,-87.752,88.0,62.5,75.5,58.5,6.95,0.0,29.415
25,2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,3,0,2007,6,3,64,47,56.0,48,7.6,0.42,29.1,29.79,5.2,5,7.6,41.995,-87.933,63,51,57.0,47,8.1,0.27,29.16,29.78,6.2,3,8.1,41.786,-87.752,63.5,49.0,56.5,47.5,7.85,0.345,29.130000000000003
26,2007-06-05,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,5,0,2007,6,5,64,47,56.0,48,7.6,0.42,29.1,29.79,5.2,5,7.6,41.995,-87.933,63,51,57.0,47,8.1,0.27,29.16,29.78,6.2,3,8.1,41.786,-87.752,63.5,49.0,56.5,47.5,7.85,0.345,29.130000000000003
